职位名称,职位类别,招聘人数,工作地点,发布时间,详细链接,工作职责,工作要求
21645-微信法务组法律顾问,职能类,1,广州,2017-09-07,http://hr.tencent.com/position_detail.php?id=32626&keywords=&tid=0&lid=0,"1. 1、负责微信平台IP保护国际化各项法律事务；
2. 2、负责沟通、联络国内外IP权利人以及各类IP保护机构；
3. 3、负责处理与微信平台相关的各类IP投诉以及IP普法培训工作
4. 2、负责微信相关合同审核及相关项目跟进；
5. 3、负责微信相关日常法律支撑工作。
","1. 1.英语能力优秀，听说读写流利，可作为日常工作语言，有海外留学或工作背景者优先；
2. 2.5年及以上大中型外企，或国内外知名律所涉外IP保护工作经验，有互联网行业相关工作经验优先；
3. 3.熟悉国内版权、商标、专利、反不正当竞争以及商业秘密保护的法律法规以及相关国际条约；
4. 4.国内外知名院校硕士及以上学历，通过国家司法考试；
5. 4.个性开朗，沟通能力优秀；抗压能力强，有良好的团队合作精神。
"
18434-视觉设计师,设计类,1,深圳,2017-09-07,http://hr.tencent.com/position_detail.php?id=32621&keywords=&tid=0&lid=0,"1. 负责腾讯FiT金融类产品的界面及活动运营设计，和产品经理、交互设计师一起完成产品的方案设计与输出，并参与相应产品的品牌延伸设计。
","1. 从事设计工作1-3年以上，具有移动端UI设计经验，具备PC端更佳，有不错的视觉设计能力和审美洞察，保持好奇心，善于沟通和思考，对于极致体验和美学有追求，富有激情，关注细节，具有匠心，突破自己，具备良好合作态度及团队精神，能够承受高强度的工作压力，有制作动画demo经验及手绘原创能力较强者优先考虑。
"
23673-文化频道内容编辑（北京）,内容编辑类,1,北京,2017-09-07,http://hr.tencent.com/position_detail.php?id=32637&keywords=&tid=0&lid=0,"1. 负责频道的学术微信公众号等的运营；
2. 与相关的专家学者建立良好的学术关系；
3. 负责选题策划、约稿、审稿、编辑、修改甚至退稿等与编辑工作相关的一切事宜；
4. 负责内容在各渠道的推广，包括网络、新媒体及版权合作等；
5. 需要负责拓展作者、作者初审、投稿自荐审核、签约流程等一系列繁琐程序；
6. 参与频道值班轮岗；
7. 承担一些项目沟通、线下活动、媒体合作等工作；
8. 因工作需要，承担上述事项以外的其他业务。
","1. 正直、勤快、好学、敏锐，有责任感，合作意识强；
2. 重点院校的国际关系、国际公法、世界史、西方经济学、西方财政学等与国际关系战略相关的专业毕业，大学本科及以上学历，知识面广，对学术问题有较强的兴趣，具备与相关领域专家学者沟通的基本素养，有较强的独立判断力；
3. 有较强的学术敏感度和学术选题设置能力，文字处理能力强；
4. 对自己的职业目标和路径有清晰规划；
5. 思想活跃，有热情，有韧性，能吃苦，能适应网络高强度工作压力，能接受值班制度及快速响应工作等要求；
6. 熟练使用WORD\Photoshop\PPT\EXCEL等最基础软件，能看懂最基本的网页代码。
"
SNG-企业文化主管（深圳）,职能类,1,深圳,2017-09-07,http://hr.tencent.com/position_detail.php?id=32629&keywords=&tid=0&lid=0,"1. 负责腾讯社交网络事业群企业文化体系的建设，根据事业群的业务需求进行包括文化类项目的创意策划和执行;
2. 宣传渠道和内容建设的运营；
3. 负责各类员工关怀类活动的创意和执行；
4. 负责事业群荣誉激励体系的运营和执行；
5. 负责搭建事业群文化虚拟团队。
","1. 大学本科及以上学历，3年以上相关工作经验（有互联网行业相关工作经验者优先）；
2. 有优秀的创意和策划能力，有多媒体和新媒体运营工作经验的优先；
3. 优秀的文字写作功底，具有项目管理能力；
4. 人际理解力、沟通协调能力强；
5. 主动推动能力强，擅于整合资源驱动目标达成；
6. 英语能作为工作语言优先。
"
S2-账务中心高级会计（深圳）,职能类,1,深圳,2017-09-07,http://hr.tencent.com/position_detail.php?id=32628&keywords=&tid=0&lid=0,"1. 梳理并优化账务处理相关流程，提升结账效率和准确性；
2. 协助制定新业务的账务核算流程及方案，并确保其遵从准则和内部管理的要求；
3. 单家法人主体报表分析，识别财务风险，保证单家报表的合规性。
","1. 熟悉国际财务报告准则（IFRS）或其他主要财务报告准则，系统性掌握大中型企业会计核算流程；
2. 5年以上相关工作经验，有大型企业集团账务核算流程和系统建设/使用经验；
3. 熟悉互联网行业的业务模式，具有CPA、ACCA或同类专业资格优先；
4. 教育背景要求：会计、财务管理等相关专业本科及以上学历；
5. 语言能力要求：具有良好的英语听说读写能力；具备较强的沟通和推动能力。
"
SA-腾讯社交广告前端开发高级工程师（联盟广告方向）（上海）,技术类,1,上海,2017-09-07,http://hr.tencent.com/position_detail.php?id=32613&keywords=&tid=0&lid=0,"1. 负责联盟广告开发者平台、内外部运营平台的Web前端开发；
2. 负责联盟广告渲染模板的前端架构设计、开发和持续优化，包括：与APP Native Code协作完成多种复杂交互、可视化自定义模板等；
3. 负责联盟H5页面广告JS的设计和开发；
4. 参与部门前端技术的前沿追踪和应用，参与建设前端公共组件库。
","1. 大学本科以上学历，5年以上工作经验；
2. 编程基本功扎实，基础数据结构和算法掌握良好，具备较强的模型抽象能力；
3. 精通XHTML/HTML(5)/JavaScript/JSX/CSS(3)等相关技术，熟练使用React等常用前端框架；
4. 深度掌握JavaScript核心技术（DOM、BOM、Ajax、JSON等），精通JavaScript性能、多浏览器兼容、组件开发；
5. 掌握SQL和至少一门后端语言（Java/PHP/Ruby等），有实际项目经验；
6. 掌握前端开发常用安全技术；
7. 关注前端技术发展，有自己的见解，爱学习爱分享，抗压、善沟通；
8. 有APP开发经验优先；
9. 有Web网站重构成功案例优先。
"
SNG06-QQ动漫社群运营经理(深圳）,产品/项目类,1,深圳,2017-09-07,http://hr.tencent.com/position_detail.php?id=32631&keywords=&tid=0&lid=0,"1. 负责QQ动漫社群生态搭建，挖掘和培养KOL，协助KOL产出内容、运营粉丝；
2. 负责梳理KOL的激励制度，维护大V和平台的关系；
3. 负责社区活动运营，热点运营等，丰富平台内容；
4. 协助团队完成用户阅读量、留存率等目标。
","1. 本科以上学历；
2. 互联网工作经验3年以上，社群运营工作经验1年以上；
3. 热爱动漫，对二次元人群特征和喜好非常了解；
4. 积极主动，执行力强，敢于接受挑战，性格开朗，有较强的团队合作精神；
5. 有二次元KOL资源的优先。
"
TEG11-产品经理（深圳）,产品/项目类,1,深圳,2017-09-07,http://hr.tencent.com/position_detail.php?id=32639&keywords=&tid=0&lid=0,"1. 负责机器学习平台的产品设计，致力于建设具备世界影响力的机器学习用户平台；
2. 负责机器学习平台的项目推进，协调各技术人员合理、快速地完成机器学习平台建设；
3. 负责机器学习平台的用户反馈收集，不断迭代优化机器学习平台用户体验，致力于打造最简单便捷地机器学习平台。
","1. 本科及以上学历，勤于思考，善于发现问题，逻辑清晰，思维缜密，对用户具有灵敏观察力；
2. 有机器学习相关背景或者机器学习平台经验者优先考虑；
3. 对用户体验有丰富经验者，对设计、交互方式有丰富经验者优先考虑。
"
MIG10-产品运营（深圳）,产品/项目类,1,深圳,2017-09-07,http://hr.tencent.com/position_detail.php?id=32627&keywords=&tid=0&lid=0,"1. 负责内部各部门及平台商务拓展、合作洽谈、关系维护等相关工作；
2. 负责内部资源协调及整合，及合作策划&方案撰写、推动及落地等相关工作；
3. 负责不同团队之间的沟通和协调工作，推动跨团队合作项目发展；
4. 主要攻克游戏项目的深度合作，及合作策划&方案撰写、推动及落地等相关工作。
","1. 本科及以上学历；
2. 1年以上工作经验，对游戏行业有一定了解，有游戏运营or发行背景的优先考虑； 
3. 性格外向，积极主动，思维活跃，善于沟通；
4. 具有较强的逻辑思维能力，善于分析问题并撰写合作方案；工作耐心细致、责任心强，学习、执行、团队协作力以及总结整理能力强。
"
18796-wegame平台运营经理(深圳),产品/项目类,1,深圳,2017-09-07,http://hr.tencent.com/position_detail.php?id=32316&keywords=&tid=0&lid=0,"1. 负责wegame 平台侧公司内网游运营推广，主要包括以下具体工作：
2. 游戏在平台侧接入和日常运营推广；
3. 针对平台内资源的投放管理，效率优化和提升；
4. 利用平台资源能力，通过运营手段，协助项目达成阶段目标；
5. 对负责的运营项目进行日常维护及数据跟踪，定期分析运营效果和调整计划
","1. 有产品运营合作经验，对接过游戏项目者优先；
2. 热爱游戏，对游戏行业了解，有丰富的游戏体验背景；
3. 对数据敏感，有数据分析经验
4. 需要理解能力强，目标导向意识，善于人际沟通；
5. 较强较高的执行力,能承受一定压力。
"
